Part#,Product#,Product Line,Status,Standard,Non Standard,Sample,Details 1,Details 2
3001,3001,,TBD,,,,,APPROVAL DRAWINGS
94580-12111303,94580,Fire Protection,TBD,,,,,"2""NPT FA/EMG/VT AL/TB/SH"
94020=19010100,94020,Pressure / Vacuum Vents,Standard,94020-1A1A10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / LOW / Standard / Lead / FEP,"12""BRTHR AL/FF INT/SEAT S"
95021-030201,95021,Gauge Hatches,Standard,95021-08A200,,,"Quick Clamp / Aluminum / 8"" / ANSI-FF 150 lb. Bolted / Standard No Lock","8""FF ANSI G/H Q'CLMP AL/F"
97180-452042001,97180,Wastewater - Tanks,Standard,97180-452042001,,,NoKit,DN400PN16FF FS-316L LS/SG
96330I26230101,96330,Fire Protection,Standard,96330I-26B2001,,,"10 / 10 / Zero Leakage Redundant Springs / Dual Spring - 10"" Valve / 'J'Flange 300 / SRF Serrated","10""300#J IPI|SRF|316|HNBR"
95220-0202,95220,Gauge Hatches,TBD,,,,,"48""AWWA M/CVR,ALUM,316/CL"
D220-S-11L-S,D220-,Delavan 220,TBD,,,,,SONAC 220 11L
94201-210103003,94201,Emergency Vents,SP,,SP,94201-4D4A4C10,24 / Standard / 2.24 - 2.85 / STEEL / STEEL / Standard / API 650,"24""API E/V-XOS|NO BC&EAR|"
2000M0111000000,2000M,Transmitters,TBD,,,,,2000M VAREC/SPOT/LJHWY/48
97570R750B18002,97570,Fire Protection,TBD,,,,,"4""O/V BV+FA A316|AW|IW|XO"
94201-010103005,94201,Emergency Vents,SP,,SP,94201-2D2A2C10,20 / Standard / 2.24 - 2.85 / STEEL / STEEL / Standard / API 650,"20""E/V STL-API|NO HLS&LUG"
92021-31050100,92021,Automatic Tank Gauges,Standard,92021-31050100,,,NoKit,"LVL GAGE,FT/IN,INNAGE,NO"
97190-433311001,97190,Wastewater - Misc,Standard,97190-433311001,,,NoKit,"4""FF/A316 NEOP/NUT JKT AI"
D320-S-851,D320-,Delavan 320,TBD,,,,,320 FINAL W/851 SENSORS
97190-93331123,97190,Wastewater - Misc,Standard,97190-93331123,,,NoKit,"10""FF/316 316/RTR 17-4 NU"
5983,5983,,TBD,,,,,FLD. SERVICE-WW
3003,3003,,TBD,,,,,CMTR - CERT MATRL TEST RE
96330I17230101,96330,Fire Protection,Standard,96330I-17B2801,,,"8 / 8 / Zero Leakage Redundant Springs / Dual Spring - 8"" Valve / 'J'Flange 300 / SRF Serrated","8""300#J IPI|SRF|316|HNBR|"
94570=190103AA1,94570,Fire Protection,TBD,,,,,"12""AL BV+FA|SP<5""|AL:TB&S"
D320-C-851S,D320-,Delavan 320,TBD,,,,,320 CC W/ 851 SS SENSORS
1500F1836010908,1500F,Servo Level Gauges,TBD,,,,,"8""150#AL/TAV/AI/2R/LJ/AO/"
92302-18352A,92302,Automatic Tank Gauges,Standard,92302-18352A,,,NoKit,"LVL GAGE& KIT-AL,39',STD"
94570=761206KD2,94570,Fire Protection,TBD,,,,,"6""RF/316 O/V+SNUFR|316:TB"
97571R180B18001,97571,Fire Protection,TBD,,,,,"10""AL|AW|XOS|SS:T/B|IW:13"
2000M0211001000,2000M,Transmitters,TBD,,,,,2000M 92021/SPT/GPE/12-70
97570R770715001,97570,Fire Protection,TBD,,,,,"8""316L/FF|AW|XOS|316L:T/B"
95210-050202,95210,Gauge Hatches,Standard,95210-050202,,,NoKit,"36"" M/H COVER ALUM/SS/NEO"
9402-18170,9402-,Spare Parts-MG,TBD,,,,,"REFUR KIT F/LD220-54 12""P"
D42076,D4207,Delavan Capacitance,TBD,,,,,320 TOP ASSY W/STD ENCL
92021-31450100,92021,Automatic Tank Gauges,Standard,92021-31450100,,,NoKit,"LVL GAGE,METERS,INNAGE,NO"
95021-030211,95021,Gauge Hatches,Standard,95021-08A201,,,"Quick Clamp / Aluminum / 8"" / ANSI-FF 150 lb. Bolted / Locking on Quick-Clamp / Screw Down","8""GAGE HTH W/LOCK QUICK/C"
96330I16200000,96330,Fire Protection,Standard,96330I-16A2100,,,6 / 8 / Standard Leakage / Single Spring (All Sizes) / 'J'Flange 300 / SRF Smooth,"6X8""300#J ISV,RF,IPI,STL,"
1500F2236010908,1500F,Servo Level Gauges,TBD,,,,,"8""150#SS/TAV/AI/2R/LJ/AO/"
4383,4383,Field Service,TBD,,,,,FIELD SERVICE A/G
811225,81122,L&J Spare Parts,TBD,,,,,2000M UPG KIT-LJTNKWY-W/D
97190-64331111,97190,Wastewater - Misc,Standard,97190-64331111,,,NoKit,"6""AL/FF 316/RTR 316/NEO N"
1500F1432010208,1500F,Servo Level Gauges,TBD,,,,,"1500F 4""150#CS/AVT/2RLY/L"
96181-0200,96181,Wastewater - Misc,Standard,96181-0200,,,NoKit,"2"" WATER DRN VLV W/3""FLG"
96181-0300,96181,Wastewater - Misc,Standard,96181-0300,,,NoKit,"3"" WATER DRN VLV W/3""NPT"
97180-012000001,97180,Wastewater - Tanks,Standard,97180-012000001,,,NoKit,"14""FF FS-316L 90D-I/0 AIS"
97120-121042101,97120,Wastewater - Tanks,SP,,SP,97120-12B12AB,12 / 316SS / CR / No Finish / None / 316/316L SS / ANSI-FF / 25 PSIG,"12""FF ST-316L SI/TO 25# A"
97120-121042102,97120,Wastewater - Tanks,SP,,SP,97120-12B12AB,12 / 316SS / CR / No Finish / None / 316/316L SS / ANSI-FF / 25 PSIG,"12""FF ST-316L SI/TO 25# A"
94020=19010300,94020,Pressure / Vacuum Vents,Standard,94020-1A1B10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / MED / Standard / Lead / FEP,"12""AL/FF B/V|FEP|A/G|SP<5"
97311T051611101,97311,Wastewater - Flares,Standard,97311T051611101,,,NoKit,"6"" A304 18K P304 CB/AB 4X"
D220-C-11L-S,D220-,Delavan 220,TBD,,,,,SONAC 220 W/ CLEAR
97120-106040101,97120,Wastewater - Tanks,SP,,SP,97120-10F10AA,10 / None / CR / No Finish / None / 316/316L SS / ANSI-FF / 5 PSIG,"10""FF ST-316L/AIS LS/SOL/"
97311T042371101,97311,Wastewater - Flares,Standard,97311T042371101,,,NoKit,"4""A316 5.3K PSH316 50HZ P"
96181-0400,96181,Wastewater - Misc,Standard,96181-0400,,,NoKit,"3"" WATER DRN VLV W/4""FLG"
1500F1436010908,1500F,Servo Level Gauges,TBD,,,,,"4""150#AL/TAV/AI/2R/LJ/AO/"
97190-94331113,97190,Wastewater - Misc,Standard,97190-94331113,,,NoKit,"10""AL/FF 316/RTR 316/NEO"
96181-0100,96181,Wastewater - Misc,Standard,96181-0100,,,NoKit,"2"" WATER DRN VLV W/2""NPT"
1200M1702000006,1200M,Transmitters,TBD,,,,,1200M AI/SPOT/LJHWY/48VDC
94225-534401003,94225,Emergency Vents,SP,,SP,94225-4C4B4J0,24'' / ANSI-FF / 316SS / ANSI-FF / XOS / FEP / 316SS / 316SS / 316SS / 8.0 to 12.0,"24""ANSI PVEV A316 XOS LS"
92021-1A2,92021,Automatic Tank Gauges,Standard,92021-1A2,,,NoKit,KIT 1A-CONE ROOF TANK 66
97190-833311002,97190,Wastewater - Misc,Standard,97190-833311002,,,NoKit,"8""316FF 316/RTR 17-4 NUT"
5089,5089,,TBD,,,,,MISCELLANEOUS
D43831,D4383,"Delavan Spare Parts (110,220,320)",TBD,,,,,51SPEC SENSOR ASSY
D43554,D4355,"Delavan Spare Parts (110,220,320)",TBD,,,,,220-C PCB ASSY (AMP KIT)
97120-161042101,97120,Wastewater - Tanks,SP,,SP,97120-16B16AB,16 / 316SS / CR / No Finish / None / 316/316L SS / ANSI-FF / 25 PSIG,"16""FF ST-316L 316/SG 25#"
94020=190602A0,94020,Pressure / Vacuum Vents,Standard,94022-1A1C10,,,"Pipe Away, Same Size Inlet and Outlet / 12in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Standard / Lead / FEP","12X12""AL C/V|FEP|>5""|316:"
1350M-01001,1350M,Ground Level Displays,TBD,,,,,1350M GLD 4WIRE <75' (150
97125-023102001,97125,Wastewater - Tanks,Standard,97125-023102001,,,NoKit,122CU/FT CON/TRAP 316SS H
2000M0211000000,2000M,Transmitters,TBD,,,,,2000M 92021/SPOT/LJHWY/48
97190-84331113,97190,Wastewater - Misc,Standard,97190-84331113,,,NoKit,"8""AL/FF 316/RTR NEO/NUT I"
97190-84331123,97190,Wastewater - Misc,Standard,97190-84331123,,,NoKit,"8""AL/FF 316/RTR TEF/NUT I"
97570R160718AD2,97570,Fire Protection,TBD,,,,,"6""AL|316:T/B+TRM|AW|XOS|I"
94020=19010200,94020,Pressure / Vacuum Vents,Standard,94020-1A1C10,,,Open Vent / 12in / ALUMINUM I-ST / ANSI-FF 150# / HIGH / Standard / Lead / FEP,"12""OV BV-ALUM FEP SP>2.9O"
